GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.capitalone.dashboard:bamboo-build-collector,com.capitalone.dashboard,Application,8,0,0,0,3,0,2,0,2,0
com.capitalone.dashboard:bamboo-build-collector,com.capitalone.dashboard.collector,DefaultBambooClient,618,492,42,24,111,94,33,21,3,15
com.capitalone.dashboard:bamboo-build-collector,com.capitalone.dashboard.collector,RestOperationsSupplier,7,0,0,0,2,0,2,0,2,0
com.capitalone.dashboard:bamboo-build-collector,com.capitalone.dashboard.collector,BambooSettings,39,23,2,0,17,9,10,6,9,6
com.capitalone.dashboard:bamboo-build-collector,com.capitalone.dashboard.collector,BambooCollectorTask,143,423,29,49,24,100,28,26,4,11
com.capitalone.dashboard:bamboo-build-collector,com.capitalone.dashboard.model,BambooCollector,8,50,1,1,4,14,3,4,2,4
com.capitalone.dashboard:bamboo-build-collector,com.capitalone.dashboard.model,BambooJob,4,46,4,6,1,9,4,4,0,3
