GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.capitalone.dashboard:github-scm-collector,com.capitalone.dashboard,Application,8,0,0,0,3,0,2,0,2,0
com.capitalone.dashboard:github-scm-collector,com.capitalone.dashboard.collector,GitHubCollectorTask,133,468,14,30,24,86,16,17,3,8
com.capitalone.dashboard:github-scm-collector,com.capitalone.dashboard.collector,DefaultGitHubClient,1623,0,122,0,368,0,74,0,13,0
com.capitalone.dashboard:github-scm-collector,com.capitalone.dashboard.collector,RestOperationsSupplier,18,0,0,0,5,0,2,0,2,0
com.capitalone.dashboard:github-scm-collector,com.capitalone.dashboard.collector,GitHubSettings,45,0,0,0,19,0,13,0,13,0
com.capitalone.dashboard:github-scm-collector,com.capitalone.dashboard.model,GitHubRepo,45,64,3,3,12,14,9,8,6,8
